West Cork	36	West Cork ; West Cork ; West Cork ; West Cork IPA Cask ; West Cork Rum Cask ; West Cork Pot Still
The Macallan	26	Macallan Colour ; Macallan Colour ; Macallan Colour ; Macallan Colour ; Macallan AERA GB ; The Macallan Enigma
Bladnoch	18	Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch 2001
The Glenlivet	14	The Glenlivet ; The Glenlivet ; The Glenlivet ; The Glenlivet ; The Glenlivet ; The Glenlivet
Old & Rare	12	Old & Rare Arran ; Old & Rare Dufftown ; Old & Rare Glenturret ; Old & Rare Bunnahabhain ; Old & Rare Glen Garioch ; Old & Rare Higland Park
Maltbarn	10	Tullibardine 2016 ; Maltbarn Ben Nevis 2012 ; Maltbarn Inchgower 1997 ; Maltbarn Glenburgie 2003 ; Maltbarn Islay Malt 2009 ; Maltbarn Blair Athol 1988
Smokehead	9	Smokehead ; Smokehead ; Smokehead Rum Riot ; Smokehead Rum Rebel ; Smokehead High Voltage ; Smokehead Twisted Stout
Singleton	8	Singleton of Glen Ord ; Singleton of Glen Ord ; The Singleton of Dufftown ; The Singleton of Dufftown ; The Singleton of Dufftown ; The Singleton of Dufftown
Hinch	7	Hinch ; Hinch Peated ; Hinch Double Wood ; Hinch Small Batch ; Hinch Sherry Finish ; Hinch Distillers Cut
Dailuaine	6	Dailuaine ; Dailuaine Black Doctor ; Dailuaine Vintage 1997 ; Dailuaine Flora and Fauna ; Dailuaine 1st fll Oloroso Sherry (Bodega) ; Dailuaine 1st fill Bourbon Hogshead The Yellow Edition
Mortlach	6	Mortlach ; Mortlach ; Mortlach ; Mortlach Rare Old ; Mortlach Vintage 1991 ; Mortlach Vintage 1996
Black Bottle	5	Black Bottle ; Black Bottle ; Black Bottle ; Black Bottle Andean Oak ; Black Bottle Captain's Cask
Hibiki	5	Hibiki ; Hibiki Harmony ; Hibiki Japanese Harmony ; Hibiki Japanese Harmony Masters Select ; Hibiki Suntory Japanese Harmony MastersSelGB
Black Bull	4	Black Bull ; Black Bull Kyloe ; Black Bull Peated Finish ; Black Bull Kyloe Sherry Finish
King's	4	King's 107 ; King's Rye ; King's Wheated ; King's Ryeconic
Pogues	4	The Pogues ; The Pogues ; The Pogues Honey ; The Pogues Streams Of
Torabhaig	4	Torabhaig Taigh ; Torabhaig Allt Gleann ; Torabhaig The Legacy Series 2017 ; Torabhaig Legacy Series Sound of Sleat
Daviess County	3	Daviess County ; Daviess County French Oak ; Daviess County Cabernet Sauvignon
Goalong	3	Goalong GB ; Goalong Bourbon Barrel ; Goalong Bourbon Barrel&Brandy cask
Maen	3	Maen ; Maen ; Maen
Seagram's	3	Seagram's VO ; 100 Pipers 1970's (Seagram's) ; 100 Pipers 1970's (Seagram's)
Adelphi	2	Adelphi ; Adelphi Maclean's Nose
Caisteal Chamuis	2	Caisteal Chamuis ; Caisteal Chamuis
First Edition	2	First Edition Speyburn ; First Edition Craigellachie
James Kilton	2	James Kilton ; James Kilton
Linkwood	2	Linkwood Refill ; Linkwood 1974 Rare Malts Selection
Onikishi	2	Onikishi Demon Knight ; Onikishi Deadly Sakura
St.kilian	2	St.Kilian Peated ; St.Kilian Classic
Whyte & Mackay	2	Whyte&Mackey ; Whyte&Mackey
An Orkney	1	An Orkney
Buchanan's	1	Buchanan's
Easy Rider	1	Easy Rider
Grand Grizzly	1	Grand Grizzly
Inchgower	1	Inchgower Flora&Fauna
Lauders	1	Lauder's Finest
Method and Madness	1	Method and Madness
Old Castle	1	Old Castle
Pickup Truck	1	Pickup Truck
Royal Canadian	1	Royal Canadian Small Batch
Star&stripes	1	Star&Stripes
The Wild Geese	1	The Wild Geese Descendants
Yamazaki	1	Suntory Yamazaki
