Macallan	98	Macallan ; Macallan 1950 ; Macallan Quest ; Macallan Terra ; The Macallan M ; Macallan Estate
Glenmorangie	85	Glenmorangie ; Glenmorangie ; Glenmorangie ; Glenmorangie ; Glenmorangie X ; Glenmorangie X
Douglas Laing	81	Big Peat ; Douglas Laing Jura ; Douglas Laing Arran ; Douglas Laing Ardmore ; Douglas Laing Beastie ; Douglas Laing Bowmore
Gordon & MacPhail	53	Caol Ila 1985 ; Strathisla 1980 ; Macallan Speymalt ; Gordon & MacPhail Mortlach ; Gordon & MacPhail Glenrothes ; Gordon & MacPhail Ardmore 2003
Jack Daniel's	49	Jack Daniels ; Jack Daniels ; Jack Daniels ; Jack Daniels ; Jack Daniels ; Jack Daniels
Signatory	45	Symington's ; Signatory Mortlach 1991 ; Signatory Unnamed Orkney ; Signatory Ledaig 100 Proof ; Signatory Unnamed Speyside ; Signatory Ardmore 100 Proof
Glenfiddich	44	Glenfiddich ; Glenfiddich ; Glenfiddich ; Glenfiddich ; Glenfiddich ; Glenfiddich
Jim Beam	44	Jim Beam ; Jim Beam ; Jim Beam ; Jim Beam ; Jim Beam Apple ; Jim Beam Apple
TBWC	43	FEW ; Puni ; TBWC ; Helsinki ; Mackmyra ; Paul John
Johnnie Walker	41	Johnnie Walker XR ; Johnnie Walker Red ; Johnnie Walker Red Soul ; Johnnie Walker Red Soul ; Johnnie Walker Red Label ; Johnnie Walker Red Label
Bushmills	37	Bushmills ; Bushmills ; Bushmills ; Bushmills ; Bushmills ; Bushmills
Tomatin	36	Tomatin ; Tomatin ; Tomatin ; Tomatin ; Tomatin ; Legendary Scot
West Cork	36	West Cork ; West Cork ; West Cork ; West Cork IPA Cask ; West Cork Rum Cask ; West Cork Pot Still
Grant's	35	Grants ; Grants ; Grants ; Grants ; Grants Rum Cask
Glenfarclas	34	Glenfarclas ; Glenfarclas ; Glenfarclas ; Glenfarclas ; Glenfarclas ; Glenfarclas
Glen Moray	34	Glen Moray ; Glen Moray ; Glen Moray ; Glen Moray Port ; Glen Moray Smoky ; Glen Moray Peated
Jameson	33	Jameson ; Jameson ; Jameson ; Jameson ; Jameson ; Jameson
Loch Lomond	32	Loch Lomond ; Loch Lomond ; Loch Lomond ; Loch Lomond ; Loch Lomond ; Loch Lomond
Ardbeg	30	Ardbeg ; Ardbeg ; Ardbeg ; Ardbeg ; Ардбег ; Ardbeg Ten
Chivas Regal	30	Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal
Jura	30	Jura ; Jura ; Jura ; Jura ; Jura ; Jura
Arran	29	Arran ; Arran ; Arran ; Arran ; Arran ; Arran
BenRiach	29	Benriach ; BenRiach ; BenRiach ; BenRiach ; BenRiach ; BenRiach
Bruichladdich	28	Bruichladdich ; Bruichladdich ; Octomore 13.3 ; Bruichladdich Organic ; Black Art 11 Bruichladdich ; Bruichladdich Black Art 11
Dalmore	28	Dalmore ; Dalmore ; Dalmore ; Dalmore ; Dalmore ; Dalmore
Hart Brothers	28	Hart Brothers ; Hart Brothers Girvan ; Hart Brothers Brackla ; Hart Brothers Dalmore ; Hart Brothers Tomatin ; Hart Brothers Benriach
Bunnahabhain	27	Bunnahabhain ; Bunnahabhain ; Bunnahabhain ; Bunnahabhain ; Bunnahabhain ; Bunnahabhain
Wild Turkey	27	Wild Turkey ; Wild Turkey ; Wild Turkey ; Wild Turkey ; Wild Turkey ; Wild Turkey
The Macallan	26	Macallan Colour ; Macallan Colour ; Macallan Colour ; Macallan Colour ; Macallan AERA GB ; The Macallan Enigma
Aberlour	25	Aberlour ; Aberlour ; Aberlour ; Aberlour ; Aberlour ; Aberlour
Glenallachie	25	GlenAllachie ; GlenAllachie ; GlenAllachie ; GlenAllachie ; GlenAllachie ; GlenAllachie
Highland Park	25	Хайленд Парк ; Highland Park ; Highland Park ; Highland Park ; Highland Park ; Highland Park
Lagavulin	25	Lagavulin ; Lagavulin ; Lagavulin ; Lagavulin ; Lagavulin 2004 Release ; Lagavulin 2006 Release
Talisker	24	Talisker ; Talisker ; Talisker ; Talisker ; Talisker ; Talisker
Hyde	23	Hyde №4 ; Hyde №3 1916 ; Hyde №5 1860 ; Hyde №6 1938 ; Hyde №9 1906 ; Hyde No.9 1906
Tullamore Dew	23	Tullamore Dew ; Tullamore Dew ; Tullamore Dew ; Tullamore Dew ; Tullamore Dew ; Tullamore Dew
Dewar's	22	Dewar's ; Dewar's ; Dewar's ; Dewar's ; Dewar's white ; Dewar's white
Nikka	22	Nikka Days ; Nikka Super ; Nikka Super ; Nikka Super ; Nikka Yoichi ; Nikka Yoichi
Scyfion	22	Scyfion ; Scyfion Dailuaine ; Scyfion Aultmore 2006 ; Scyfion Dufftown 2008 ; Scyfion Dailuaine 2007 ; Scyfion Secret Speyside
Balvenie	21	Balvenie ; Balvenie ; Balvenie Montilla ; Balvenie Portwood ; Balvenie PortWood ; Balvenie DoubleWood
Glencadam	20	Glencadam ; Glencadam ; Glencadam ; Glencadam ; Glencadam ; Glencadam Origin 1825
Hankey Bannister	20	Hankey Bannister ; Hankey Bannister ; Hankey Bannister ; Hankey Bannister Regency ; Hankey Bannister Original ; Hankey Bannister Original
Ballantine's	19	Ballantine's ; Ballantine's Wild ; Ballantine's Brasil ; Ballantine's Finest ; Ballantine's Finest ; Ballantine's Finest
Tamnavulin	19	Tamnavulin ; Tamnavulin ; Tamnavulin ; Tamnavulin Speyside ; Tamnavulin Double Cask ; Tamnavulin Sherry Cask
Bladnoch	18	Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch ; Bladnoch 2001
Glen Scotia	18	Glen Scotia ; Glen Scotia ; Glen Scotia ; Glen Scotia ; Glen Scotia ; Glen Scotia Harbour
Laphroaig	18	Laphroaig ; Laphroaig ; Laphroaig ; Laphroaig ; Laphroaig ; Laphroaig PX
Royal Salute	18	Royal Salute ; Royal Salute ; Royal Salute ; Royal Salute ; Royal Salute ; Royal Salute Miami Polo
Bowmore	17	Bowmore ; Bowmore ; Bowmore ; Bowmore ; Bowmore ; Bowmore
Isle of Jura	17	Jura ; Jura ; Jura ; Isle of Jura ; Isle of Jura ; Isle of Jura
Kavalan	17	Kavalan ; Kavalan Lan ; Kavalan 2016 ; Kavalan 2017 ; Kavalan Podium ; Kavalan Classic
Mars	17	Mars IWAI ; Mars Cosmo ; Mars Kasei ; Mars Tsunuki ; Mars The Y.A #1 ; Mars Maltage Cosmo
Cutty Sark	16	Cutty Sark ; Cutty Sark ; Cutty Sark ; Cutty Sark ; Cutty Sark ; Cutty Sark
Glendronach	16	Glendronach ; Glendronach ; Glendronach ; Glendronach Forgue ; GlenDronach Peated ; Glendronach Parliament
