# fromSlug	toSlug	why the two are one producer
the-singleton-of-dufftown	singleton-of-dufftown	Same Diageo Singleton expression; three agents coined three slugs.
singleton-dufftown	singleton-of-dufftown	Same Diageo Singleton expression; three agents coined three slugs.
singleton	the-singleton	Same umbrella brand over Dufftown, Glendullan and Glen Ord.
deveron	the-deveron	Same Macduff-distilled single malt sold as The Deveron.
mitchells	mitchell-son	Same Dublin merchant, Mitchell & Son, bottler of the Spot range.
peanut-butter	skrewball	Skrewball is the producer; peanut butter is the flavouring.
the-kurayoshi	kurayoshi	Same Matsui Shuzo product; distillery and brand are one row here.
speaker	the-speaker	Same own-label blend.
oneills	o-neills	Same Irish blend; apostrophe spelled two ways.
woodford	woodford-reserve	Same Kentucky distillery.
pogues	the-pogues	Same Irish blend.
mh	m-h	Same Israeli distillery, M&H.
the-quiet-man	quiet-man	Same Derry-produced Irish blend.
nikka-whisky	nikka	Same umbrella brand.
lux-row	lux-row-distillers	Same Bardstown distillery.
talisman	the-talisman	Same J&W Hardie blend; Tomatin owns Hardie, so both agents were right.
highiland-baron	highland-baron	Catalogue misspells it; the typo survives as an alias, not as a slug.
gelstons	samuel-gelstons	Same historic Northern Irish brand.
spey	speyside-distillery	Spey is the Speyside Distillery Company's own malt.
