# Authority table for region and owner, parsed from the Wikipedia article
# 'List of whisky distilleries in Scotland', fetched 2026-08-27.
# Fields: distillery, region (Wikipedia 'Island' folded to 'Islands'), owner, malt|grain, operating|closed.
# Region here is the COMMON convention. legalRegion for an 'Islands' row is always 'highland'.
# This file is the P1.7 cross-check authority: where it disagrees with a researched row, it wins.
Aberargie	Lowland	Morrison Scotch Whisky Distillers	malt	operating
Aberfeldy	Highland	John Dewar & Sons	malt	operating
Aberlour	Speyside	Chivas Brothers	malt	operating
Abhainn Dearg	Islands	Mark Tayburn	malt	operating
Ailsa Bay	Lowland	William Grant & Sons	malt	operating
Allt-A-Bhainne	Speyside	Chivas Brothers	malt	operating
Annandale	Lowland	Annandale Distillery Company	malt	operating
Arbikie	Highland	Arbikie Highland Estate	malt	operating
Ardbeg	Islay	LVMH	malt	operating
Ardgowan	Lowland	Ardgowan Distillery Company	malt	operating
Ardmore	Highland	Suntory Global Spirits	malt	operating
Ardnahoe	Islay	Hunter Laing & Company	malt	operating
Ardnamurchan	Highland	Adelphi Distillery Co	malt	operating
Ardross	Highland	Greenwood Distillers	malt	operating
Auchentoshan	Lowland	Suntory Global Spirits	malt	operating
Auchroisk	Speyside	Diageo	malt	operating
Aultmore	Speyside	John Dewar & Sons	malt	operating
Balblair	Highland	Inver House Distillers	malt	operating
Ballindalloch	Speyside	Ballindalloch Distillery LLP	malt	operating
Balmaud	Highland	Balmaud Distillery Co. Ltd.	malt	operating
Balmenach	Speyside	Inver House Distillers	malt	operating
Balvenie	Speyside	William Grant & Sons	malt	operating
Ben Cumhaill ()	Lowland	Simpson family	malt	operating
Ben Nevis	Highland	Nikka Whisky Distilling Co Ltd	malt	operating
Benbecula	Islands	Angus A. MacMillan	malt	operating
BenRiach	Speyside	Brown-Forman	malt	operating
Benrinnes	Speyside	Diageo	malt	operating
Benromach	Speyside	Gordon & MacPhail	malt	operating
Blackness	Lowland	Colm O'Rourke	malt	operating
Bladnoch	Lowland	David Prior	malt	operating
Blair Athol	Highland	Diageo	malt	operating
Bonnington	Lowland	Halewood Artisanal Spirits	malt	operating
Borders	Lowland	The Three Stills Company	malt	operating
Bowmore	Islay	Suntory Global Spirits	malt	operating
Braeval	Speyside	Chivas Brothers	malt	operating
Brora	Highland	Diageo	malt	operating
Bruichladdich	Islay	Rémy Cointreau	malt	operating
Bunnahabhain	Islay	Distell	malt	operating
Burn O'Bennie	Highland	Deeside Brewery & Distillery Ltd.	malt	operating
Cabrach	Speyside	The Cabrach Trust	malt	operating
Cairn	Speyside	Gordon & MacPhail	malt	operating
Caol Ila	Islay	Diageo	malt	operating
Cardhu	Speyside	Diageo	malt	operating
Clydeside	Lowland	Morrison Glasgow Distillers	malt	operating
Clynelish	Highland	Diageo	malt	operating
Cragganmore	Speyside	Diageo	malt	operating
Craigellachie	Speyside	John Dewar & Sons	malt	operating
Daftmill	Lowland	Francis and Ian Cuthbert	malt	operating
Dailuaine	Speyside	Diageo	malt	operating
Dalmore	Highland	Whyte & Mackay	malt	operating
Dalmunach	Speyside	Chivas Brothers	malt	operating
Dalwhinnie	Highland	Diageo	malt	operating
Deanston	Highland	Distell	malt	operating
Deerness	Islands	Deerness Distillery Ltd	malt	operating
Dornoch	Highland	Dornoch Distillery Company	malt	operating
Dufftown	Speyside	Diageo	malt	operating
Dunphail	Speyside	Bimber	malt	operating
Eden Mill	Lowland	Paul Miller	malt	operating
