river queen	slaur-sardet	any	Slaur Sardet's own "River Queen Blended Scotch Whisky" (slaur.com); catalogue sample name "Slaur Sardet River Queen"
lord perkins	slaur-sardet	any	Slaur Sardet house blend per slaur.com's own product range
paddington	slaur-sardet	brand	Slaur Sardet house blend per slaur.com; short/generic word so brand scope
yacht club	slaur-sardet	brand	Slaur Sardet house blend per slaur.com; generic phrase so brand scope
glen colt	slaur-sardet	any	Slaur Sardet house blend per slaur.com's own product range
green garden	slaur-sardet	brand	Slaur Sardet house blend per slaur.com; generic-sounding so brand scope
glen scanlan	glen-scanlan	any	primary name of new row (this batch)
royal oak distillery	royal-oak-distillery	any	primary name of new row (this batch)
dublin liberties distillery	dublin-liberties-distillery	any	primary name of new row (this batch)
beara distillery	beara-distillery	any	primary name of new row (this batch)
