name,confidence,tags
101 Wild Turkey,high,bourbon-cask|caramel|vanilla|spicy
15 Stars First West,unknown,
1770 The Original,low,fruity|floral|vanilla
1792 Small Batch,high,bourbon-cask|caramel|vanilla|oak
36 South Double Grain Morris,unknown,
3 унції,unknown,
81 Wild Turkey,high,bourbon-cask|caramel|vanilla|oak
95 Rye Bulleit,high,spicy|oak|vanilla|caramel
Aberargie Morrison,unknown,
Aber Falls,low,fruity|honey|vanilla
Aberfeldy,high,honey|floral|oak|vanilla
Aberfeldy 125th Anniversary Edition,low,honey|oak
Aberfeldy Cadillac,low,honey|oak
Aberfeldy Exceptionnal Cask StJulian,low,fruity|oak
Aberfeldy Gold Bar,low,honey|oak
Aberfeldy Ruby Port Single Cask,low,fruity|honey|oak
Aberlour,high,sherry|honey|vanilla|oak
Aberlour A'Bunadh Alba,high,sherry|chocolate|spicy|oak
Aberlour - Batch 7,low,sherry|oak
Aberlour Casg Annamh,high,honey|sherry|vanilla|oak
Aberlour Double Cask,high,vanilla|honey|oak|fruity
Aberlour Double Sherry Cask Finish,high,sherry|chocolate|honey|oak
Aberlour Forest Reserve,low,sherry|honey|oak
Aberlour Non Chill-filtered,high,honey|spicy|oak|sherry
Aberlour Sherry Cask,high,sherry|chocolate|oak|spicy
Aberlour Triple Cask,low,vanilla|oak|honey|caramel
Adelphi,unknown,
Adelphi Maclean's Nose,low,peated|smoky|spicy
Advent Calendar 2023,unknown,
Aerstone Land Cask,low,vanilla|honey|oak
Aerstone Sea Cask,low,maritime|citrus|oak
Agitator,unknown,
Agitator Argument Islay Pedro Ximenez,low,sherry|chocolate|fruity
Agitator Argument Sherry Butt,low,sherry|chocolate|oak
Agitator Argument Sweet Toast,low,caramel|vanilla|oak
Agitator Chestnut Cask,low,spicy|oak
Agitator Evidens Ice Cider Cask,low,fruity|honey
Agitator Rok,unknown,
Agitator The Swedish Blend,unknown,
Aikan Extra Collection Batch No.3,unknown,
Ailsa Bay,high,peated|vanilla|spicy|citrus
Akashi,low,vanilla|honey|fruity
Akashi Bourbon Cask,low,bourbon-cask|vanilla|caramel
Akashi Meisei,low,honey|fruity
Akashi Red Wine,low,fruity|oak
Akashi Sherry,low,sherry|fruity|honey
Akashi Sherry Cask,low,sherry|oak|chocolate
Akashi White Oak,low,vanilla|honey|oak
Akashi White Wine,low,fruity|floral
Alchemist Tobermory,low,fruity|citrus|maritime
Alexander,unknown,
Alexander Aqva Di Vita Amarone Cask Finish,low,fruity|oak
Allt-A-Bhainne,low,floral|fruity
Allt-a-Bhainne - Old Malt Cask,low,floral|fruity
Allt-a-Bhainne Vintage 1996,low,floral|fruity|oak
Amahagan Edition №1,low,fruity|vanilla
Amahagan Edition No.2 Red Wine Wood Finish,low,fruity|oak
Amahagan Edition №3 Mizunara Wood Finish,low,spicy|oak
Amahagan Yamazakura Wood Finish,low,fruity|oak
Amrut,high,fruity|spicy|honey|oak
Amrut Brandy Finish 2014,low,fruity|oak
Amrut Cask Strength,high,fruity|spicy|oak|honey
Amrut Ex Triple Distilled 2014,low,vanilla|honey|oak
Amrut Fusion,high,peated|spicy|fruity|oak
Amrut Intermediate Sherry,low,sherry|fruity|spicy
Amrut Kadhambam,low,fruity|sherry|spicy
Amrut Lightly Peated,high,peated|spicy|fruity|oak
Amrut Peated,high,peated|smoky|spicy|oak
Amrut Portonova,high,fruity|honey|oak|spicy
Amrut Raj Igala,low,sherry|fruity|spicy
Amrut Triparva Triple Distilled,low,vanilla|honey|spicy|oak
anCnoc,high,floral|honey|citrus|oak
AnCnoc Sherry Peated,high,peated|sherry|smoky|spicy
Angel's Envy Port Cask,high,fruity|caramel|vanilla|oak
Angus Dundee Distillers Glencadam Origin 1825,low,fruity|floral|oak
Angus Dundee Distillers Glen Parker,unknown,
Angus Dundee Glencadam Reserva de Jerez Oloroso Sherry Cask Finish,low,sherry|fruity|oak
An Orkney,unknown,
Antiquary,low,honey|oak|spicy
Antiquary Red,low,honey|caramel|oak
A Quarter Passed Wemyss Malts,low,fruity|honey
Ardbeg,high,peated|smoky|citrus|oak
Ardbeg AN OA,high,peated|smoky|chocolate|vanilla
Ardbeg Antholody Unicorn's Tale,low,peated|smoky|fruity|honey
Ardbeg Anthology,low,peated|smoky|oak|spicy
Ardbeg Anthology Unicorn's Tale,low,peated|smoky|fruity|vanilla
Ardbeg Anthology V3,low,peated|smoky|caramel|oak
Ardbeg Corryvreckan,high,peated|smoky|spicy|chocolate
Ardbeg Dolce,low,peated|smoky|vanilla|caramel
Ardbeg Monster of Smoke Ten Years Old + Ardbeg Monster of Smoke An Oa + Ardbeg Monster of Smoke Wee Beastie,high,peated|smoky|oak
Ardbeg Smoketrails Cote Rotie Edition,low,peated|smoky|fruity|spicy
