15-stars	15 Stars	blend						unknown			unverified	unknown		No web presence found. Naming pattern ('Platinum', 'First West') gives no clear nationality signal, so left unclassified rather than guessed.
1792	1792	distillery	US			Sazerac Company	bourbon	none			auto	high	https://en.wikipedia.org/wiki/Barton_1792_Distillery	Barton 1792 Distillery, Bardstown KY; standard bourbon mashbill, no peat mentioned anywhere
36-south	36 South	distillery	AU			Morris of Rutherglen	grain	none			unverified	low	https://www.morrisofrutherglen.com/pages/36-south-whisky	Contrary to my first guess (a New Zealand independent bottler), 36southwhisky.com redirects straight to morrisofrutherglen.com/pages/36-south-whisky: 36 South is produced by Morris of Rutherglen in Victoria, Australia (name references 36 degrees south latitude), matching the catalogue's own AU guess. "36 South Double Grain Whisky" made from local wheat/barley; page's own tasting language ("smooth yet complex") has no smoke/peat descriptor -- no cask-finish/Morris-cask connection stated on that page despite the sample name.
8-doors	8 Doors	distillery	GB-SCT	highland	highland	Kerry and Derek Campbell	single malt	unknown			auto	high	https://en.wikipedia.org/wiki/8_Doors_distillery	John O'Groats, Caithness; first spirit run 2022, officially opened by King Charles III in Aug 2023. No peat statement found in the Wikipedia article.
aber-falls	Aber Falls	distillery	GB-WLS			Halewood Artisanal Spirits	single malt	none			unverified	low	https://www.aberfallsdistillery.com	North Wales single malt distillery (first in North Wales since the early 1900s). Official site does not explicitly say "unpeated", so confidence kept low despite no indication of peat use.
aberargie	Aberargie	distillery	GB-SCT	lowland	lowland	Morrison Scotch Whisky Distillers	single malt	unknown			auto	high	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_Scotland https://aberargie.com/	Confirmed by this project's own reference authority table (region=Lowland, owner=Morrison Scotch Whisky Distillers, malt, operating) -- matches the catalogue's own sample naming "Aberargie Morrison" directly. Official site (fetched this session) states only "balanced, elegant" character and first-fill bourbon/sherry cask maturation, with no explicit peat/unpeated statement, so peatProfile is left unknown rather than guessed.
aberdour	Aberdour	blend	GB-SCT				blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Own-label style, no independent web presence found; treated as an ordinary unpeated blended Scotch per brief long-tail default, not brand-verified.
aberfeldy	Aberfeldy	distillery	GB-SCT	highland	highland	John Dewar & Sons (Bacardi)	single malt	none			auto	high	https://en.wikipedia.org/wiki/Aberfeldy_distillery	
aberlour	Aberlour	distillery	GB-SCT	speyside	speyside	Chivas Brothers	single malt	none			auto	high	https://en.wikipedia.org/wiki/Aberlour_distillery	Standard unpeated sherried Speyside malt; extremely well-established, equivalent tier to Macallan/Glenfiddich.
abhainn-dearg	Abhainn Dearg	distillery	GB-SCT	islands	highland	Mark Tayburn	single malt	unknown			auto	high	https://en.wikipedia.org/wiki/Abhainn_Dearg_distillery	Isle of Lewis distillery (aka Red River distillery), operating since 2008; earliest release was 'Spirit of Lewis' before the current Abhainn Dearg-branded single malts. No peat/smoke level stated in Wikipedia's product list or the distillery's own site (fetched, JS-rendered, no extractable peat claim).
achill-island	Achill Island	distillery	IE					none			auto	high	https://www.thecorkscrew.ie/products/achill-island-cask-strength-peated-single-malt-70cl https://www.celticwhiskeyshop.com/achill-island-distillery	Family-run distillery on Achill Island, Co. Mayo, founded 2015. Makes both an unpeated core and a distinct 'Peated' single malt (see rule), plus single pot still - range spans types so defaultTypeName left empty.
adelphi	Adelphi	bottler	GB-SCT			Adelphi Distillery Ltd		unknown			auto	high	https://en.wikipedia.org/wiki/Adelphi_distillery	Independent bottler revived 1993 (original 1826 Glasgow distillery closed 1907); also owns Ardnamurchan distillery, not relevant here since this batch's samples ("Adelphi", "Adelphi Maclean's Nose") name no specific source distillery.
aerstone	Aerstone	brand	GB-SCT			William Grant & Sons	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/William_Grant_%26_Sons	Confirmed single malt Scotch whisky brand of William Grant & Sons (listed alongside Glenfiddich/Balvenie/Kininvie/Ailsa Bay) but its specific source distillery is not disclosed/confirmed this session - parentSlug deliberately left empty. Peat left unknown since WG&S's Ailsa Bay site does produce a lightly-peated component for blending, so "none" cannot be assumed confidently.
agitator	Agitator	distillery	SE					unknown			unverified	low		Real Swedish distillery in Arboga (agitatordistillery.com, "Agitator ar ett svenskt destilleri i Arboga"). Could not confirm peat level of any expression, so left unknown (no citation opened to support none/light/medium/heavy - sourceUrls therefore left empty per the peatProfile=unknown rule). REVIEWER FLAG: "Agitator Rok" - "rok"/"rok" resembles Swedish "rok" (smoke); this sample may be a smoky/peated expression but I could not verify it, so no rule was written - worth a manual check.
aikan	Aikan	blend						unknown			unverified	unknown		No information found for this brand within budget (no Wikipedia coverage). Single sample 'Aikan Extra Collection Batch No.3' gives no clear indication of origin, distillery or type.
